Name,Alias,Nationality,Designation,Sanction Type,Source
Mousa Mohammed ABU MARZOOK,MARZUK,Unknown,Individual,SDGT,USOFAC-SDN
Gilberto Jose RODRIGUEZ OREJUELA,THE CHESS PLAYER,Unknown,Individual,SDNT,USOFAC-SDN
Miguel Angel RODRIGUEZ OREJUELA,EL SENOR,Unknown,Individual,SDNT,USOFAC-SDN
MAR AZUL,None,Unknown,Vessel,CUBA,USOFAC-SDN
EBANO,ANA I,Unknown,Vessel,CUBA,USOFAC-SDN
TIFON,None,Unknown,Vessel,CUBA,USOFAC-SDN
Ramadan ABDALLAH,ABDULLAH,Unknown,Individual,SDGT,USOFAC-SDN
BANK MARKAZI JOMHOURI ISLAMI IRAN,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,Unknown,Entity,"IRAN, IFSR, IRGC, SDGT",USOFAC-SDN
BANK MASKAN,HOUSING BANK - OF IRAN,Unknown,Entity,"IRAN, IRAN-EO13902",USOFAC-SDN
BANK REFAH KARGARAN,WORKERS' WELFARE BANK - OF IRAN,Unknown,Entity,"IRAN, IRAN-EO13902",USOFAC-SDN
BANK KESHAVARZI IRAN,AGRICULTURAL BANK OF IRAN,Unknown,Entity,"IRAN, IRAN-EO13902",USOFAC-SDN
BANK SADERAT PLC,IRAN OVERSEAS INVESTMENT BANK PLC,Unknown,Entity,"IRAN, SDGT, IFSR",USOFAC-SDN
ABU SAYYAF GROUP,AL HARAKAT AL ISLAMIYYA,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
ARMED ISLAMIC GROUP,GIA,Unknown,Entity,SDGT,USOFAC-SDN
AUM SHINRIKYO,AUM SUPREME TRUTH,Unknown,Entity,SDGT,USOFAC-SDN
EUZKADI TA ASKATASUNA,BASQUE FATHERLAND AND LIBERTY,Unknown,Entity,SDGT,USOFAC-SDN
GAMA'A AL-ISLAMIYYA,ISLAMIC GROUP,Unknown,Entity,SDGT,USOFAC-SDN
HAMAS,ISLAMIC RESISTANCE MOVEMENT,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
HARAKAT UL-MUJAHIDEEN,HUA,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
HIZBALLAH,PARTY OF GOD,Unknown,Entity,"FTO, SDGT, SYRIA",USOFAC-SDN
KAHANE CHAI,REPRESSION OF TRAITORS,Unknown,Entity,SDGT,USOFAC-SDN
KURDISTAN WORKERS' PARTY,PKK,Unknown,Entity,"FTO, SDGT, SDNTK",USOFAC-SDN
LIBERATION TIGERS OF TAMIL EELAM,LTTE,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
NATIONAL LIBERATION ARMY,ELN,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,PIJ-SHAQAQI FACTION,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
