Name,Alias,Nationality,Designation,Sanction Type,Source
VTB BANK (AUSTRIA) AG,None,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
VTB BANK JSC BELGRADE,VTB BANKA AD BEOGRAD,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
VTB CAPITAL HOLDINGS CLOSED JOINT STOCK COMPANY,KHOLDING VTB KAPITAL ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
VTB PENSION ADMINISTRATOR LIMITED,VTB PENSION ADMINISTRATOR LTD,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
LIMITED LIABILITY COMPANY VTB DC,LLC VTB DC,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
VTB INSURANCE LIMITED,VTB STRAKHOVANIE STRAKHOVAYA KOMPANIYA OOO,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
VTB FACTORING LTD,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB FAKTORING,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
NPF VTB PENSION FUND JOINT STOCK COMPANY,NONPROFIT ORGANIZATION NON-STATE PENSION FUND VTB PENSION FUND,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
VTB REAL ESTATE LIMITED LIABILITY COMPANY,"VTB NEDVIZHIMOST, OOO",Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
VTB SPECIALIZED DEPOSITORY CLOSED JOINT STOCK COMPANY,CJS VTB SPECIALIZED DEPOSITORY,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
VTB REGISTRAR CLOSED JOINT STOCK COMPANY,VTB REGISTRAR,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
MULTICARTA,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU MULTIKARTA,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
VTB LEASING JOINT STOCK COMPANY,JSC VTB LEASING,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
AKTSIONERNOE OBSHCHESTVO SG-DEVELOPMENT,PUBLIC JOINT STOCK COMPANY HALS-DEVELOPMENT,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
AUCTION LIMITED LIABILITY COMPANY,LLC AUKCION,Unknown,Entity,"RUSSIA-EO14024, UKRAINE-EO13662",USOFAC-Consolidated
RUST CLOSED JOINT-STOCK COMPANY,CJSC RUST,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
JOINT STOCK COMPANY SBERBANK AUTOMATED TRADE SYSTEM,SBERBANK-AUTOMATED TRADING SYSTEM CLOSED JOINT STOCK COMPANY,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
LIMITED LIABILITY COMPANY SBERBANK FINANCIAL COMPANY,LLC SBERBANK FINANCIAL COMPANY,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
LLC SOVREMENNYE TECHNOLOGII,MODERN TECHNOLOGIES LIMITED LIABILITY COMPANY,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
SBERBANK TECHNOLOGIES CLOSED JOINT STOCK COMPANY,CJSC SBERBANK-TECHNOLOGY,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
BYLINNYE BOGATYRI LIMITED LIABILITY COMPANY,LLC BYLINNYE BOGATYRI,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
LIMITED LIABILITY COMPANY ACTIVE BUSINESS CONSULT,LLC ACTIVEBUSINESSCOLLECTION,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
JOINT STOCK COMPANY SBERBANK PRIVATE PENSION FUND,CJSC NON-STATE PENSION FUND OF SBERBANK,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
INSURANCE COMPANY SBERBANK INSURANCE LIMITED LIABILITY COMPANY,LLC INSURANCE COMPANY SBERBANK INSURANCE,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
LIMITED LIABILITY COMPANY SBERBANK INSURANCE BROKER,LLC INSURANCE BROKER OF SBERBANK,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
KORUS CONSULTING CIS LIMITED LIABILITY COMPANY,LLL KORUS CONSULTING CIS,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
SB SECURITIES SA,None,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
RT - GLOBALNYE RESURSY OOO,RT GLOBAL RESOURCES,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
JSC NPO HIGH PRECISION SYSTEMS,AKTSIONERNOE OBSHCHESTVO NPO VYSOKOTOCHNYE KOMPLEKSY,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
OPEN JOINT STOCK COMPANY RUSSIAN ELECTRONICS,JSC RUSELECTRONICS,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
OTKRYTOE AKTSIONERNOE OBSHCHESTVO VNESHNEEKONOMICHESKOE OBEDINENIE TEKHNOPROMEKSPORT,JOINT STOCK COMPANY FOREIGN ECONOMIC ASSOCIATION TECHNOPROMEXPORT,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
NPK TEKHMASH OAO,OJSC MACHINE ENGINEERING TECHNOLOGIES,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
OTKRYTOE AKTSIONERNOE OBSHCHESTVO KONTSERN AVIATSIONNOE OBORUDOVANIE,JOINT STOCK COMPANY CONCERN OF AVIATION EQUIPMENT,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
JOINT STOCK COMPANY TEKHNODINAMIKA,JSC TEKHNODINAMIKA,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
OTKRYTOE AKTSIONERNOE OBSHCHESTVO RT-STANKOINSTRUMENT,"RT-STANKOINSTRUMENT, OAO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
AKTSIONERNOE OBSHCHESTVO RT-KHIMICHESKIE TEKHNOLOGII I KOMPOZITSIONNYE MATERIALY,JOINT STOCK COMPANY RT-CHEMICAL TECHNOLOGIES AND COMPOSITE MATERIALS,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
AKTSIONERNOE OBSHCHESTVO RT-BIOTEKHPROM,"RT-BIOTEKHPROM, AO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
AKTSIONERNOE OBSHCHESTVO RT-AVTO,"RT-AVTO, AO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
JOINT STOCK COMPANY SHVABE,AKTSIONERNOE OBSHCHESTVO SHVABE,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
OBSCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU PROMINVEST,"PROMINVEST, OOO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
OBIEDINENNAYA PROMYSHLENNAYA KORPORATSIYA OBORONPROM OAO,OPK OBORONPROM OAO,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
ROSOBORONEKSPORT OAO,RUSSIAN DEFENSE EXPORT ROSOBORONEXPORT,Unknown,Entity,"SYRIA, UKRAINE-EO13662, RUSSIA-EO14024, IRAN-CON-ARMS-EO",USOFAC-Consolidated
KONTSERN SIRIUS OAO,CONCERN SIRIUS JOINT STOCK COMPANY,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
JOINT STOCK COMMERCIAL BANK NOVIKOMBANK,AKTSIONERNY KOMMERCHESKI BANK NOVIKOMBANK AKTSIONERNOE OBSHCHESTVO,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
AKTSIONERNOE OBSHCHESTVO RT-OKHRANA,"RT-OKHRANA, AO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
OTKRYTOE AKTSIONERNOE OBSHCHESTVO TEKHNOLOGII BEZOPASNOSTI,"TEKHNOLOGII BEZOPASNOSTI, OAO",Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
UNITED INSTRUMENT MANUFACTURING CORPORATION,JSC-UNITED-INSTRUMENT-MANUFACTURING-CORPORATION,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
RT-INFORM LIMITED LIABILITY COMPANY,RT-INFORM LLC,Unknown,Entity,"UKRAINE-EO13662, RUSSIA-EO14024",USOFAC-Consolidated
KONTSERN ORION OAO,ORION CONCERN OPEN JOINT STOCK COMPANY,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
RT-METALLURGIYA OAO,OPEN JOINT-STOCK COMPANY RT-METALLURGIYA,Unknown,Entity,UKRAINE-EO13662,USOFAC-Consolidated
